Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC
  6 24.2 0.163  0.0  814.7 0.694  98.2   26.7  -3.8e+37   24.22  0.15    0.1   99768.4   1.4e+36    -159.7  96.29   41.8     6.0        - 5.12338  ejected
  6 26.5 0.303  0.0  948.3 0.725 115.8  33.47  -3.4e+37   26.51  0.31    0.3  100011.4   2.6e+36    -86.12 102.38   88.4     5.0        - 4.99794  ejected
  6 23.6 0.352  0.0  491.3 0.511  45.0  28.49  -3.9e+37   23.58  0.35    0.0   99700.4   5.3e+35   -418.64  31.06    2.0     6.0        - 5.32573  ejected
  6 25.9 0.077  0.0  231.1 0.518  20.9   27.6  -3.5e+37   26.01  0.11   69.1    7025.1  -4.8e+34   4606.35   0.91   70.7     9.0        -     9.0        -
  6 24.4  0.39  0.0  422.6 0.266  78.1  33.34  -3.7e+37   24.44  0.38    0.6   99997.3   1.3e+35  -1703.04  17.92  122.7     6.0        - 5.59464  ejected
  6 25.9 0.321  0.0  101.1 0.114   6.2  32.76  -2.5e+37   36.27  0.13    2.3      64.7  -1.9e+36    113.66   0.72    6.3     5.0        - 4.57122   AlCenB
  6 26.8 0.146  0.0  168.4 0.097 122.3  24.09  -3.4e+37   26.77  0.13    0.2   99886.4   4.7e+34   -4759.1   2.66   84.6     6.0        - 5.95424  ejected
  6 24.1 0.348  0.0  198.5 0.243  15.1  20.66  -4.5e+37   20.09  0.05    6.9   99916.4   5.8e+36    -38.11 128.75   88.7     5.0        - 4.82927  ejected
  6 27.1 0.498  0.0   98.5 0.313 118.5  35.73  -3.5e+37   25.83  0.95   48.9   99998.6   2.4e+35   -905.29   1.08   39.5     6.0        -  5.8489  ejected
  6 26.2 0.243  0.0   33.9 0.012   3.7  21.12  -3.3e+37   27.98  0.26    0.4      14.8   1.2e+38     -1.92   6.84  172.6     3.0        - 1.99151   AlCenB
  6 23.6 0.427  0.0  206.0 0.059 108.5  32.28  -3.9e+37   23.61  0.57   33.9     227.4  -7.5e+35    293.97   0.44   27.2     9.0        -     9.0        -
  6 27.5 0.111  0.0  383.9 0.483  12.0   29.9  -3.3e+37   27.46  0.12    0.1  100010.7   1.4e+36   -158.47  36.88  114.4     6.0        - 5.12068  ejected
  6 25.5 0.289  0.0  317.8 0.022  12.3   24.3  -5.1e+37   17.78  0.65   10.3   99997.0   1.4e+37    -15.34 131.09   75.2     5.0        - 4.64833  ejected
  6 26.3 0.155  0.0  571.9 0.747  66.8  29.68  -3.5e+37   26.32  0.16    0.2   99566.9   1.3e+36   -165.96  97.74   93.6     6.0        - 5.13919  ejected
  6 26.6 0.304  0.0   56.9 0.103  15.6  19.28  -4.2e+37   21.55  0.49    4.1  100004.7   3.9e+36    -56.47 120.69   83.7     5.0        - 4.90653  ejected
  6 26.8 0.478  0.0  384.6 0.187  12.2  22.86  -3.4e+37   26.76  0.48    0.2  100009.1   4.9e+36    -45.57  78.12   56.3     5.0        - 4.85988  ejected
  6 26.4 0.202  0.0  798.3 0.664  35.1  30.56  -3.5e+37   26.37  0.19    0.2  100007.3     4e+35   -560.32  18.74   97.5     6.0        -  5.3503  ejected
  6 24.3 0.441  0.0  264.8 0.152  63.0  16.04  -3.8e+37   24.23  0.45    0.5   33241.3  -1.2e+34  18572.63    0.8  115.2     9.0        -     9.0        -
  6 25.3 0.044  0.0  299.2 0.634 142.5  26.01  -3.6e+37   25.32   0.1   23.7    1467.7  -7.7e+34   2867.94   0.91  114.5     9.0        -     9.0        -
  6 23.4 0.179  0.0  304.6 0.476  63.7   27.9  -3.9e+37   23.45   0.2    0.3   99894.3   1.1e+36   -209.01 125.24   58.9     6.0        - 5.18346  ejected
  6 24.4 0.278  0.0  858.3 0.643  53.9  18.55  -3.7e+37   24.35  0.25    0.0  100009.3   6.8e+35   -325.89  85.33  174.1     6.0        - 5.28142  ejected
  6 27.2 0.186  0.0  411.9 0.484 178.0  18.02  -4.1e+37   22.22  0.34    1.6  100007.8   7.9e+36    -28.11 144.96  105.0     5.0        -  4.8076  ejected
  6 26.2 0.118  0.0   72.7 0.212 147.8  20.66  -4.6e+37   19.69   0.2    4.4  100000.3   7.4e+36    -30.07  96.69  132.7     5.0        - 4.77889  ejected
  7 26.3 0.108  0.0  132.8 0.114  94.6  23.48  -3.5e+37   26.26  0.11    0.1   99889.4   6.4e+35   -348.36   8.84   44.0     6.0        - 5.27389  ejected
