Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC      dEAB     dEpsC
  3 27.2 0.213  0.0  203.1 0.106  68.7  36.64    -4e+06   27.27  0.45    6.0   99560.4  7.19e+04  -2275.49   1.72   45.5     7.0        - 6.21891  ejected  4.24e+03 -7.93e+05
  3 25.0 0.212  0.0  506.7 0.463 135.4  28.46 -4.37e+06   24.99  0.14    2.3   99816.0  1.15e+05  -1417.97   2.16  116.2     7.0        - 6.10444  ejected       476 -5.24e+05
  3 26.5 0.501  0.0  101.7 0.174 143.7   7.67 -7.64e+06   14.28   0.7   81.4  100004.8  5.27e+05   -310.58  30.29   90.5     6.0        - 5.83834  ejected -3.52e+06  1.75e+06
  3 24.3 0.233  0.0  417.9 0.454  57.1  20.04 -4.72e+06   23.14  0.17    3.4   99431.2  1.19e+05  -1380.47   3.15   74.1     7.0        - 6.12889  ejected  -2.3e+05 -2.02e+05
  3 28.1  0.06  0.0  289.8 0.186 128.8  21.99 -3.89e+06   28.07  0.22    6.2   99556.7  3.01e+04   -5430.6   1.21   30.4     7.0        - 6.30497  ejected  1.06e+03 -2.66e+05
  3 25.3  0.25  0.0  137.5 0.178  73.6  35.92 -4.34e+06   25.17  0.69   32.3   81388.1  3.64e+03  -44956.2    1.0   96.6     9.0        - 8.99771  ejected -1.65e+04 -4.44e+05
  3 24.1 0.419  0.0 1108.3 0.701 103.4  38.15 -4.53e+06   24.09  0.72   11.3   99944.7  7.52e+05   -217.71 100.87    5.1     6.0        - 5.54842  ejected       961 -1.81e+06
  3 26.7  0.47  0.0  619.2 0.404 156.4  26.25 -4.09e+06   26.69  0.71   13.8   99319.2   1.5e+05  -1093.11   5.62   78.2     7.0        - 6.09547  ejected -1.84e+03 -5.88e+05
  3 26.0 0.009  0.0  130.0 0.735  80.9  26.59 -4.21e+06   25.95  0.44  111.7     987.9 -2.04e+05    802.59   0.73   48.7     9.0        -     9.0        -  -2.6e+03 -1.37e+04
  3 27.1 0.047  0.0  145.0 0.412  19.7   11.6 -1.05e+07    10.4  0.75   33.7   99729.0  7.72e+04  -2121.31   8.79   27.9     7.0        - 6.15027  ejected -6.47e+06  3.68e+06
  3 24.0 0.065  0.0  116.6 0.337 154.1 100000.0  3.46e+07   -3.15 985.15  132.2   61121.4  2.05e+07      -8.0 196.03  146.5 4.92529  ejected 4.85823  ejected  3.92e+07  2.25e+07
  3 26.8 0.114  0.0  203.0 0.025 149.7  32.63 -4.08e+06   26.78  0.22    0.6   99912.1  1.29e+04 -12700.02   1.02  157.6     7.0        - 6.39838  ejected  3.67e+03 -4.97e+05
  3 26.5 0.263  0.0  243.2 0.045  31.9 99849.24  3.64e+06  -29.99 1810.06    8.4   49937.9  1.87e+06    -87.49 517.33  170.3 5.50196  ejected 5.50196  ejected  7.76e+06  3.24e+06
  3 23.6 0.014  0.0  190.7 0.042  78.8  27.41 -4.62e+06   23.61  0.42    4.3   99334.0  5.87e+04  -2790.59  11.87  102.5     7.0        - 6.07545  ejected      -521 -1.51e+06
  3 27.0 0.477  0.0  196.1 0.306 176.4 99270.95  9.37e+05  -116.5 756.74  139.9   49628.4  1.37e+06   -119.14 417.05   46.5 6.04017  ejected 6.04017  ejected  4.98e+06  3.46e+06
  3 25.5 0.025  0.0  346.9 0.673 162.2  25.75 -4.29e+06   25.43  0.43    1.0  100009.2  1.42e+05  -1153.58   9.25  159.2     6.0        - 5.86396  ejected -2.46e+03  -1.4e+06
  3 24.6 0.507  0.0  147.3 0.459 169.0  22.54 -5.78e+06    18.9   0.2   18.4   99865.5  7.36e+05   -222.46  20.92  115.5     6.0        -  5.8005  ejected -1.34e+06  3.33e+05
  3 28.0 0.103  0.0  190.4 0.211  58.1  26.77  -3.9e+06   28.01  0.53    3.4   99548.8   4.2e+04  -3893.57   5.59  119.5     7.0        - 6.24734  ejected      -424 -1.14e+06
  3 27.4 0.466  0.0  513.4 0.219  88.4  44.69 -3.98e+06   27.43  0.66    5.2   99680.9  5.17e+04  -3165.78   4.38   15.9     7.0        - 6.27301  ejected     1e+03 -9.53e+05
  3 25.3 0.457  0.0  176.8 0.271  16.6 99375.71  4.48e+06  -24.35 292.81  128.8   60063.5   2.7e+06    -60.55 136.72  146.8 5.16434  ejected 5.07012  ejected   8.8e+06  4.08e+06
  3 27.1 0.468  0.0  235.1 0.238 112.7  35.55 -4.02e+06   27.14  0.85   92.2    2733.3 -4.15e+04   3944.75    0.5  102.9     9.0        -     9.0        -  5.82e+03 -2.45e+05
  3 25.0 0.314  0.0  305.4 0.109  28.2  28.64    -5e+06   21.82  0.72   77.8   99662.6  3.82e+04  -4290.08   1.01   46.9     7.0        - 6.32545  ejected -6.35e+05  3.74e+05
  3 24.3 0.356  0.0  200.2 0.013  52.0  17.21 -4.58e+06   23.85  0.49    4.9   99879.8   5.3e+03 -30893.53    1.0   73.5     7.0        - 6.50979  ejected -8.94e+04  -3.4e+04
  3 27.1 0.429  0.0   86.8 0.301 143.6    nan       inf    -0.0   nan    nan       nan       nan       nan    nan    nan 3.89457  ejected     4.0        -       inf       nan
  3 24.6 0.457  0.0  189.1 0.333 140.3  28.22 -4.43e+06   24.62  0.47   13.5     661.0 -4.16e+05    393.22   0.72  152.3     9.0        -     9.0        - -3.94e+03 -1.23e+03
  3 24.6 0.457  0.0  189.1 0.333 140.3  28.22 -4.43e+06   24.62  0.47   13.5     661.0 -4.16e+05    393.22   0.72  152.3     9.0        -     9.0        - -3.94e+03 -1.23e+03
  3 26.0  0.14  0.0  245.0 0.322  67.2  25.58 -4.21e+06   25.95   0.2    3.3   99394.8  2.05e+05   -799.49   6.82  112.1     7.0        -  6.0432  ejected      -174 -6.39e+05
  3 27.3 0.135  0.0  711.5 0.606  66.6  28.31    -4e+06   27.26  0.51    1.4   99878.3  1.33e+03 -122804.22   1.01   94.3     7.0        - 6.61669  ejected       390 -9.03e+05
  3 27.1 0.128  0.0  169.9 0.715  19.2  13.51 -7.56e+06   14.44  0.16    7.4   99875.9  7.02e+05   -233.13 106.33   88.6     6.0        - 5.55708  ejected -3.52e+06  6.08e+05
  3 23.9 0.441  0.0  530.1 0.519 145.3  19.95  -4.6e+06   23.74  0.67   12.4    6265.2 -4.85e+04   3377.12   0.96   38.8     9.0        -     9.0        - -2.93e+04 -8.63e+04
  3 24.7 0.381  0.0  199.2 0.398   5.3    nan  3.49e+05 -312.81 96.23   22.5       nan       nan       nan    nan    nan  6.1428  ejected     7.0        -  4.77e+06       nan
  3 27.7 0.315  0.0  197.2 0.096  79.4  26.17 -3.93e+06   27.76  0.29    2.6     164.7 -4.76e+05    343.67   0.54   45.4     9.0        -     9.0        -  1.49e+04       872
  3 23.6 0.449  0.0 1129.1 0.724 137.4  26.46 -4.63e+06   23.57  0.54    3.8   99944.2   1.6e+05  -1025.71  31.23    5.4     6.0        - 5.88181  ejected  3.23e+03 -1.44e+06
  3 23.9  0.28  0.0  276.8 0.266 129.1  21.08 -4.63e+06   23.59  0.39    4.8   79890.9  4.25e+04  -3852.33   1.02   58.6     9.0        - 8.53947  ejected -6.69e+04 -3.83e+05
  3 24.4 0.334  0.0  182.1 0.131  54.3 5497.84  6.33e+05 -172.47 31.62  102.0    2762.7  9.41e+05   -173.95  16.82   77.9     9.0        -     9.0        -  5.11e+06  2.59e+06
